"ItemNumber","ItemVariationNumber","ImprintLocationName"
"BG271","BG271RD","Front Pocket"
"BG271","BG271RD","Right Side Pocket"
"BG271","BG271RY","Front Pocket"
"BG271","BG271RY","Right Side Pocket"
"BG271","BG271BK","Left Side Pocket"
"BG271","BG271BK","Front Pocket"
"BG271","BG271RD","Left Side Pocket"
"BG271","BG271RD","Front Pocket"
"BG271","BG271RY","Left Side Pocket"
"BG271","BG271RY","Front Pocket"
"BG271","BG271BK","Right Side Pocket"
"BG271","BG271BK","Left Side Pocket"
"BG271","BG271BK","Front Pocket"
"BG271","BG271RD","Right Side Pocket"
"BG271","BG271RD","Left Side Pocket"
"BG271","BG271RD","Front Pocket"
"BG271","BG271RY","Right Side Pocket"
"BG271","BG271RY","Left Side Pocket"
"BG271","BG271RY","Front Pocket"
"BG271","BG271BK","Top Pocket"
"BG271","BG271BK","Right Side Pocket"
"BG271","BG271BK","Left Side Pocket"
"BG271","BG271RD","Top Pocket"
"BG271","BG271RD","Right Side Pocket"
"BG271","BG271RD","Left Side Pocket"
"BG271","BG271RY","Top Pocket"
"BG271","BG271RY","Right Side Pocket"
"BG271","BG271RY","Left Side Pocket"
"BG271","BG271BK","Front Pocket"
"BG271","BG271BK","Front Pocket"
"BG271","BG271BK","Right Side Pocket"
"BG271","BG271RD","Front Pocket"
"BG271","BG271RD","Front Pocket"
"BG271","BG271RD","Right Side Pocket"
"BG271","BG271RY","Front Pocket"
"BG271","BG271RY","Front Pocket"
"BG271","BG271RY","Right Side Pocket"
"BG271","BG271BK","Left Side Pocket"
"BG271","BG271BK","Left Side Pocket"
"BG271","BG271BK","Front Pocket"
"BG271","BG271RD","Left Side Pocket"
"BG271","BG271RD","Left Side Pocket"
"BG271","BG271RD","Front Pocket"
"BG271","BG271RY","Left Side Pocket"
"BG271","BG271RY","Left Side Pocket"
"BG274","BG274BL","Top Pocket"
"BG274","BG274GY","Top Pocket"
"BG274","BG274RD","Top Pocket"
"BG274","BG274BL","Top Pocket"
"BG274","BG274BL","Top Pocket"
"BG274","BG274GY","Top Pocket"
"BG274","BG274GY","Top Pocket"
"BG274","BG274RD","Top Pocket"
"BG274","BG274RD","Top Pocket"
"BG274","BG274BL","Top Pocket"
"BG274","BG274GY","Top Pocket"
"BG274","BG274RD","Top Pocket"
"BG274","BG274BL","Top Pocket"
"BG274","BG274GY","Top Pocket"
"BG274","BG274RD","Top Pocket"
"BG274","BG274BL","Top Pocket"
"BG274","BG274GY","Top Pocket"
"BG274","BG274RD","Top Pocket"
"BG274","BG274BL","Pocket"
"BG274","BG274GY","Pocket"
"BG274","BG274RD","Pocket"
"BG274","BG274BL","Top Pocket"
"BG274","BG274GY","Top Pocket"
"BG274","BG274RD","Top Pocket"
"BG275","BG275BK","Front Pocket"
"BG275","BG275RD","Front Pocket"
"BG275","BG275RY","Front Pocket"
"BG275","BG275BK","Top Flap Pocket"
"BG275","BG275RD","Top Flap Pocket"
"BG275","BG275RY","Top Flap Pocket"
"BG275","BG275BK","Default"
"BG275","BG275RD","Default"
"BG275","BG275RY","Default"
"BG276","BG276BK","Default"
"BG276","BG276RD","Default"
"BG276","BG276RY","Default"
"BG276","BG276BK","Front Pocket"
"BG276","BG276RD","Front Pocket"
"BG276","BG276RY","Front Pocket"
"BG276","BG276BK","Top Flap Pocket"
"BG276","BG276RD","Top Flap Pocket"
"BG276","BG276RY","Top Flap Pocket"
"BG277","BG277BK","Front Pocket"
"BG277","BG277RD","Front Pocket"
"BG277","BG277RY","Front Pocket"
"BG277","BG277BK","Front Pocket"
"BG277","BG277RD","Front Pocket"
"BG277","BG277RY","Front Pocket"
"BG277","BG277BK","Top Flap Pocket"
"BG277","BG277RD","Top Flap Pocket"
"BG277","BG277RY","Top Flap Pocket"
"BG277","BG277BK","Front Pocket"
"BG277","BG277RD","Front Pocket"
"BG277","BG277RY","Front Pocket"
"BG278","BG278BKRD","Top Flap"
"BG278","BG278GYBL","Top Flap"
"BG278","BG278BKGY","Default"
"BG278","BG278BKRD","Default"
"BG278","BG278GYBL","Default"
"BG278","BG278BKGY","Top Flap"
"BG278","BG278BKRD","Top Flap"
"BG278","BG278GYBL","Top Flap"
"BG278","BG278BKGY","Default"
"BG278","BG278BKRD","Default"
"BG278","BG278GYBL","Default"
"BG278","BG278BKGY","Top Flap"
"BG278","BG278BKRD","Top Flap"
"BG278","BG278GYBL","Top Flap"
"BG278","BG278BKGY","Default"
"BG278","BG278BKGY","Top Flap"
"BG278","BG278BKRD","Default"
"BG278","BG278BKRD","Top Flap"
"BG278","BG278GYBL","Default"
"BG278","BG278GYBL","Top Flap"
"BG278","BG278BKGY","Default"
"BG278","BG278BKRD","Default"
"BG278","BG278GYBL","Default"
"BG278","BG278BKGY","Top Flap"
"BG279","BG279BKRD","Default"
"BG279","BG279GYBL","Default"
"BG279","BG279BKGY","Top Flap"
"BG279","BG279BKRD","Top Flap"
"BG279","BG279GYBL","Top Flap"
"BG279","BG279BKGY","Default"
"BG279","BG279BKRD","Default"
"BG279","BG279GYBL","Default"
"BG279","BG279BKGY","Top Flap"
"BG279","BG279BKRD","Top Flap"
"BG279","BG279GYBL","Top Flap"
"BG279","BG279BKGY","Default"
"BG279","BG279BKRD","Default"
"BG279","BG279GYBL","Default"
"BG279","BG279BKGY","Top Flap"
"BG279","BG279BKRD","Top Flap"
"BG279","BG279GYBL","Top Flap"
"BG279","BG279BKGY","Default"
"BG279","BG279BKGY","Top Flap"
"BG279","BG279BKRD","Default"
"BG279","BG279BKRD","Top Flap"
"BG279","BG279GYBL","Default"
"BG279","BG279GYBL","Top Flap"
"BG279","BG279BKGY","Default"
"BG287","BG287BL","Front Pocket"
"BG287","BG287BL","Front Pocket"
"BG287","BG287BL","Front Pocket"
"BG287","BG287BL","Front Pocket"
"BG288","BG288BL","Front Pocket"
"BG288","BG288RD","Front Pocket"
"BG288","BG288BL","Front Pocket"
"BG288","BG288RD","Front Pocket"
"BG288","BG288BL","Front Pocket"
"BG288","BG288RD","Front Pocket"
"BG288","BG288BL","Front Pocket"
"BG288","BG288RD","Front Pocket"
